area_type,availability,location,size,bhk,total_sqft,bath,balcony,price,
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,3,"2,300.00",3,0,317,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,200.00",2,1,59,
Super built-up  Area,18-Oct,8th Phase JP Nagar,2 BHK,2,"1,080.00",2,2,38,
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2,"1,200.00",2,1,50.3,
Plot  Area,Ready To Move,4th Block Koramangala,4 Bedroom,4,"2,400.00",4,0,550,
Super built-up  Area,Ready To Move,Banashankari,3 BHK,3,"1,400.00",2,1,78,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"1,500.00",4,3,200,
Carpet  Area,20-Dec,Kanakpura Road,1 BHK,1,458.00,1,0,19.695,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,230.00",2,1,57,
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,3,"1,640.00",3,3,88,
Super built-up  Area,Ready To Move,Banashankari,3 BHK,3,"1,700.00",3,2,125,
Super built-up  Area,Ready To Move,Bommasandra,3 BHK,3,"1,478.00",2,0,44,
Super built-up  Area,Ready To Move,Defence Colony,4 BHK,4,"6,600.00",4,0,986,
Super built-up  Area,Ready To Move,Banashankari,2 BHK,2,"1,020.00",2,2,40.79,
Plot  Area,Ready To Move,Nagarbhavi,2 Bedroom,2,"1,200.00",2,1,150,
Built-up  Area,Ready To Move,Yelahanka,3 BHK,3,"1,275.00",2,2,95,
Built-up  Area,Ready To Move,Cambridge Layout,4 Bedroom,4,"1,600.00",3,1,165,
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,2,"1,110.00",2,2,38.85,
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,3,"1,627.86",3,2,88,
Built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,2,620.00,2,1,22,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"3,004.00",4,2,285,
Super built-up  Area,18-May,Hosa Road,2 BHK,2,"1,133.00",2,1,52,
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,2,"1,182.00",2,2,82.5,
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,3,"1,500.00",3,3,100,
Super built-up  Area,Ready To Move,Hebbal Kempapura,4 BHK,4,"3,900.00",5,0,360,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,200.00",2,2,58,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,128.00",2,1,48.79,
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,3,"2,345.00",2,0,293,
Built-up  Area,Ready To Move,Jayanagar,2 BHK,2,900.00,2,2,110,
Built-up  Area,Ready To Move,Amruthahalli,2 BHK,2,"1,100.00",2,1,45,
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,2,635.00,1,1,22,
Super built-up  Area,Ready To Move,Ardendale,4 BHK,4,"2,062.00",3,0,140,
Built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,874.00",4,1,130,
Plot  Area,18-Apr,Vidyaranyapura,4 Bedroom,4,600.00,3,2,78,
Super built-up  Area,18-Jun,Old Madras Road,2 BHK,2,"1,171.00",2,2,75,
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,3,"2,020.00",3,3,85,
Super built-up  Area,18-Jan,8th Phase JP Nagar,2 BHK,2,"1,059.00",2,2,34.5,
Super built-up  Area,Ready To Move,Panathur,3 BHK,3,"1,315.00",2,1,59.1,
Super built-up  Area,Ready To Move,Jakkur,3 BHK,3,"1,760.00",3,2,110,
Built-up  Area,Ready To Move,Sampangi Rama Nagar,2 Bedroom,2,"1,200.00",2,1,125,
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3,"1,192.00",2,1,62,
Super built-up  Area,19-Jun,Hebbal,3 BHK,3,"1,645.00",3,2,121,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,250.00",2,2,72,
Super built-up  Area,19-Dec,Whitefield,1 BHK,1,709.00,1,0,34.385,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,340.00",2,1,77,
Built-up  Area,Ready To Move,Cooke Town,3 BHK,3,"2,388.00",4,3,239,
Super built-up  Area,18-Jun,Hosa Road,2 BHK,2,"1,369.10",2,1,104,
Super built-up  Area,Ready To Move,Jalahalli West,2 BHK,2,"1,355.00",2,3,75,
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,2,"1,150.00",2,2,65,
Super built-up  Area,19-Dec,Kanakapura,3 BHK,3,"1,938.00",3,3,113,
Super built-up  Area,19-Jun,Begur Road,4 BHK,4,"2,462.00",4,3,124,
Super built-up  Area,Ready To Move,Budigere,3 BHK,3,"1,636.00",3,2,85,
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,3,"1,430.00",2,2,75,
Super built-up  Area,Ready To Move,BEML Layout 5th stage,3 BHK,3,"2,000.00",3,2,85,
Carpet  Area,18-May,Electronic City Phase II,3 BHK,3,993.00,2,2,50,
Plot  Area,Ready To Move,Laggere,4 Bedroom,4,"1,260.00",4,1,150,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,700.00",3,3,88,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,"1,270.00",2,2,78,
Plot  Area,18-Apr,Anjanapura,3 Bedroom,3,"1,500.00",3,1,121,
Built-up  Area,Ready To Move,Koramangala,3 BHK,3,"2,300.00",3,3,290,
Plot  Area,18-Mar,Hunasamaranahalli,4 Bedroom,4,"7,500.00",4,2,900,
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,"1,650.00",3,3,86.45,
Super built-up  Area,Ready To Move,Panathur,2 BHK,2,"1,109.00",2,1,63,
Super built-up  Area,Ready To Move,Pragathi Nagar,2 BHK,2,"1,280.00",2,1,49.75,
Built-up  Area,Ready To Move,Sarjapur,4 Bedroom,4,"2,885.00",3,1,185,
Plot  Area,Ready To Move,Banashankari,9 Bedroom,9,"1,200.00",9,1,145,
Plot  Area,Ready To Move,Devanahalli,3 Bedroom,3,"1,600.00",3,2,180,
Super built-up  Area,Ready To Move,Kothanur,3 BHK,3,"1,462.00",3,3,71,
Super built-up  Area,19-Mar,Marathahalli,1 BHK,1,607.00,1,1,35,
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,2,930.00,2,0,25,
Plot  Area,17-Nov,Varthur,4 Bedroom,4,"4,500.00",5,2,300,
Plot  Area,Ready To Move,Sahakara Nagar,5 Bedroom,5,"1,200.00",5,0,160,
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,3,"2,600.00",3,1,237,
Super built-up  Area,Ready To Move,JP Nagar,4 BHK,4,"3,000.00",4,2,140,
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,3,"1,418.00",3,2,52.47,
Built-up  Area,Ready To Move,Ramesh Nagar,2 Bedroom,2,"4,200.00",1,2,160,
Built-up  Area,Ready To Move,EPIP Zone,2 BHK,2,"1,125.00",2,1,65,
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,3,"1,825.00",3,2,126,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,320.00",2,3,79.5,
Built-up  Area,Ready To Move,JP Nagar,4 Bedroom,4,"3,000.00",4,2,140,
Super built-up  Area,Ready To Move,HAL 2nd Stage,3 BHK,3,"1,490.00",2,2,300,
Plot  Area,Ready To Move,8th block Koramangala,4 Bedroom,4,"1,650.00",3,1,300,
Super built-up  Area,20-Dec,Whitefield,2 BHK,2,750.00,2,1,52.7,
Super built-up  Area,19-Dec,Yelahanka,3 BHK,3,"1,400.00",2,2,80.54,
Super built-up  Area,Ready To Move,Sathya Sai Layout,4 BHK,4,"4,104.00",4,3,360,
Built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,4,"5,000.00",4,0,375,
Plot  Area,Ready To Move,Mahadevpura,5 Bedroom,5,"3,295.00",4,2,260,
Plot  Area,Ready To Move,A Narayanapura,4 Bedroom,4,"1,150.00",3,1,110,
Plot  Area,18-Jul,Whitefield,3 Bedroom,3,"1,200.00",3,1,61.96,
Built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,2,965.00,2,2,48,
Plot  Area,Ready To Move,Gottigere,1 Bedroom,1,812.00,1,1,26,
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2,"1,100.00",2,2,43,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,180.00",2,2,41,
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,2,"1,145.00",2,2,48,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,027.00",2,1,44,
Super built-up  Area,18-Apr,Silk Board,2 BHK,2,"1,215.00",2,2,49.85,
Plot  Area,Ready To Move,Hegde Nagar,2 Bedroom,2,"1,200.00",2,0,75,
Super built-up  Area,Ready To Move,Kenchenahalli,2 BHK,2,"1,015.00",2,2,58,
Plot  Area,18-May,Kaggalipura,3 Bedroom,3,"2,400.00",3,1,165,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"3,000.00",4,3,306,
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 Bedroom,3,"3,300.00",4,3,160,
Super built-up  Area,Ready To Move,Puttanahalli,2 BHK,2,"1,076.00",2,2,52,
Super built-up  Area,18-Dec,JP Nagar,2 BHK,2,"1,300.00",2,1,109,
Built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,2,"1,300.00",2,2,102,
Super built-up  Area,19-Jun,Hosa Road,3 BHK,3,"1,512.00",3,1,123,
Carpet  Area,18-Dec,Bhoganhalli,3 BHK,3,"1,053.40",3,1,88.91,
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,1,605.00,1,0,41.745,
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2,"1,153.00",2,1,65,
Plot  Area,Ready To Move,Virat Nagar,2 Bedroom,2,"2,080.00",2,1,150,
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,2,"1,255.00",2,2,69,
Built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,4,"2,835.00",5,0,260,
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,"1,583.00",3,3,109,
Super built-up  Area,Ready To Move,Kundalahalli Colony,2 BHK,2,"1,505.00",2,2,90,
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,3,"1,365.00",2,2,75.08,
Plot  Area,Ready To Move,Dwarka Nagar,3 Bedroom,3,"1,200.00",3,3,95.75,
Super built-up  Area,Ready To Move,Amblipura,3 BHK,3,"1,810.00",4,3,148,
Built-up  Area,Ready To Move,Magadi Road,1 Bedroom,1,440.00,1,0,35,
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,2,975.00,2,1,63,
Super built-up  Area,Ready To Move,Doddagubbi,2 BHK,2,"1,250.00",2,3,39,
Super built-up  Area,Ready To Move,Gopalkrishna Nagar,3 BHK,3,"1,530.00",2,1,97,
Super built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,3,"1,300.00",2,2,39,
Super built-up  Area,Ready To Move,Channasandra,2 BHK,2,"1,115.00",2,1,40,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,308.00",2,1,83,
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,2,"1,194.00",2,2,47,
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,3,"1,490.00",2,2,59.6,
Plot  Area,Ready To Move,Bannerghatta Road,4 Bedroom,4,"10,000.00",4,0,450,
Super built-up  Area,19-Apr,Sarjapur  Road,3 BHK,3,"1,592.00",3,1,91,
Super built-up  Area,18-Jun,Rajaji Nagar,2 BHK,2,"1,222.00",2,0,112,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,267.00",2,2,42.85,
Super built-up  Area,Ready To Move,Balagere,1 BHK,1,656.00,1,1,53,
Plot  Area,Ready To Move,Dodda Nekkundi,4 Bedroom,4,"3,400.00",4,3,530,
Built-up  Area,Ready To Move,Garudachar Palya,4 BHK,4,"4,500.00",5,0,400,
Plot  Area,18-Nov,Chandapura,2 Bedroom,2,"1,200.00",1,1,36,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,698.00",3,2,102,
Built-up  Area,Ready To Move,Tata Nagar,3 BHK,3,"1,500.00",3,2,70,
Plot  Area,Ready To Move,Sunkadakatte,4 Bedroom,4,"2,000.00",5,0,80,
Super built-up  Area,18-Mar,Electronic City,2 BHK,2,"1,152.00",2,1,65.75,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,1,550.00,1,0,21,
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,2,900.00,2,2,42,
Super built-up  Area,18-Mar,Rajarajeshwari nagar,3 BHK,3,"1,410.00",2,2,45.12,
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,3,"1,419.00",2,3,73,
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,2,"1,200.00",2,1,55,
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,3,"1,800.00",3,3,65,
Super built-up  Area,Ready To Move,Gottigere,2 BHK,2,990.00,2,1,40,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,016.00",2,1,45,
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,2,"1,100.00",2,0,39,
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 BHK,4,850.00,2,1,65,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,095.00",2,1,35,
Super built-up  Area,Ready To Move,Rajarajeshwarinagar,3 BHK,3,"2,000.00",3,2,85,
Super built-up  Area,Ready To Move,Budigere,2 BHK,2,"1,444.00",2,2,70,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,415.00",2,3,67,
Plot  Area,Ready To Move,Jinkethimmanahalli,3 Bedroom,3,"1,500.00",2,1,130,
Super built-up  Area,Ready To Move,Daadys Gaarden Layout,3 BHK,3,"1,600.00",3,3,72,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,105.00",2,1,41.36,
Super built-up  Area,18-Dec,Electronic City,3 BHK,3,"1,225.00",3,0,45.03,
Super built-up  Area,Ready To Move,Frazer Town,3 BHK,3,"2,560.00",3,2,265,
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,"1,080.00",2,1,37.8,
Plot  Area,Ready To Move,Dasarahalli,7 Bedroom,7,"2,400.00",3,3,150,
Super built-up  Area,18-Aug,Talaghattapura,3 BHK,3,"1,856.00",3,2,135,
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,3,"1,464.00",3,2,56,
Plot  Area,Ready To Move,Vishwapriya Nagar,6 Bedroom,6,"2,100.00",6,2,71,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,150.00",2,2,77,
Plot  Area,Ready To Move,Abbigere,5 Bedroom,5,"1,200.00",4,1,98,
Super built-up  Area,18-Dec,Whitefield,3 BHK,3,"2,094.00",2,0,113.19,
Super built-up  Area,Ready To Move,5th Phase JP Nagar,3 BHK,3,"1,485.00",2,2,67,
Super built-up  Area,Ready To Move,Vimanapura,3 BHK,3,"2,500.00",3,3,75,
Plot  Area,18-Aug,Whitefield,2 Bedroom,2,"1,200.00",2,1,45,
Super built-up  Area,18-May,Hennur Road,2 BHK,2,"1,036.00",2,1,59.46,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"3,445.00",5,3,270,
Super built-up  Area,Ready To Move,Dodsworth Layout,2 BHK,2,"1,400.00",2,2,80,
Super built-up  Area,18-Jul,Bommanahalli,2 BHK,2,"1,110.00",2,2,33,
Built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,2,"1,150.00",2,3,48,
Super built-up  Area,Ready To Move,Kenchenahalli,1 BHK,1,715.00,1,1,45,
Plot  Area,Ready To Move,Magadi Road,4 Bedroom,4,"1,200.00",4,0,130,
Plot  Area,Ready To Move,Rajaji Nagar,5 Bedroom,5,"1,200.00",3,1,260,
Super built-up  Area,Ready To Move,Jakkur,4 BHK,4,"2,283.00",4,2,130,
Plot  Area,Ready To Move,1st Stage Radha Krishna Layout,6 Bedroom,6,"1,790.00",5,1,250,
Super built-up  Area,18-Apr,Hormavu,3 BHK,3,"1,453.00",2,2,43.58,
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,3,"1,400.00",2,1,85,
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,3,"1,400.00",3,0,65,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,"1,700.00",3,1,140,
Super built-up  Area,18-Dec,Kanakpura Road,3 BHK,3,"1,591.00",3,1,120,
Super built-up  Area,Ready To Move,Nagarbhavi,3 BHK,3,"1,515.00",2,1,79,
Built-up  Area,Ready To Move,Marathahalli,5 Bedroom,5,"2,500.00",3,3,200,
Super built-up  Area,18-Aug,Chandapura,2 BHK,2,975.00,2,1,24.86,
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,3,"1,382.00",2,2,76.18,
Plot  Area,Ready To Move,Nagasandra,7 Bedroom,7,"1,750.00",5,2,350,
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,3,"1,533.00",3,2,150,
Super built-up  Area,18-Feb,Cunningham Road,3 BHK,3,"3,815.00",3,1,763,
Super built-up  Area,Ready To Move,Amarjyothi Colony,2 BHK,2,"1,100.00",2,2,38,
Super built-up  Area,Ready To Move,Dairy Circle,4 BHK,4,"3,730.00",6,2,450,
Super built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,3,"1,500.00",2,1,120,
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,3,"1,391.00",2,2,64.5,
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,"1,160.00",2,2,42.92,
Built-up  Area,Ready To Move,Chandapura,1 BHK,1,620.00,1,1,27,
Plot  Area,Ready To Move,MS Pallya,8 Bedroom,8,"2,400.00",9,3,350,
Plot  Area,Ready To Move,Vidyaranyapura,8 Bedroom,8,"1,200.00",7,3,130,
Built-up  Area,18-Jun,Whitefield,4 Bedroom,4,"4,827.00",4,3,400,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,482.00",3,3,60.98,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,405.00",2,2,84.5,
Built-up  Area,Ready To Move,Gunjur,2 BHK,2,"1,190.00",2,2,40,
Super built-up  Area,Ready To Move,Harlur,2 BHK,2,"1,174.00",2,1,78,
Plot  Area,Ready To Move,Seegehalli,2 Bedroom,2,"1,155.00",2,0,72,
Super built-up  Area,19-Mar,Thanisandra,3 BHK,3,"1,411.00",3,1,93.04,
Super built-up  Area,Ready To Move,Jalahalli West,2 BHK,2,745.00,2,0,50,
Super built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,2,"1,000.00",2,2,30,
Super built-up  Area,Ready To Move,Jigani,2 BHK,2,923.00,2,1,50,
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,2,"1,000.00",2,2,32,
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,2,"1,276.00",2,2,45,
Built-up  Area,Ready To Move,Devasthanagalu,3 BHK,3,"1,460.00",3,2,70,
Super built-up  Area,19-Jul,Yemlur,2 BHK,2,"1,355.00",2,1,95,
Super built-up  Area,Ready To Move,Avalahalli,1 BHK,1,833.00,1,1,49,
Built-up  Area,Ready To Move,Bapuji Layout,8 Bedroom,8,"1,200.00",8,0,275,
Plot  Area,Ready To Move,Cambridge Layout,5 Bedroom,5,"1,750.00",5,1,450,
Super built-up  Area,18-Dec,Ramamurthy Nagar,2 BHK,2,"1,200.00",2,1,48,
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,1,669.00,1,1,36.85,
Plot  Area,Ready To Move,7th Phase JP Nagar,3 Bedroom,3,"2,200.00",4,2,105,
Super built-up  Area,18-May,Koramangala,3 BHK,3,"1,594.00",3,0,125,
Super built-up  Area,Ready To Move,Kothanur,3 BHK,3,"1,790.00",3,2,105,
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,2,"1,020.00",2,1,45,
Plot  Area,Ready To Move,Doddanekundi,4 Bedroom,4,"3,250.00",5,1,850,
Super built-up  Area,Ready To Move,Vasantapura main road,2 BHK,2,"1,037.00",2,1,36.28,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,"1,345.00",2,2,57,
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,2,"1,070.00",2,3,43,
Super built-up  Area,Ready To Move,Sector 6 HSR Layout,4 BHK,4,"3,000.00",5,0,270,
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,3,"1,385.00",2,2,76.18,
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,"1,207.00",2,2,79.9,
Super built-up  Area,Ready To Move,Varthur,2 BHK,2,"1,140.00",2,3,55.5,
Built-up  Area,Ready To Move,Basavanapura,2 BHK,2,"1,220.00",2,2,68,
Plot  Area,Ready To Move,CQAL Layout,4 Bedroom,4,"3,811.00",3,2,475,
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,4,"3,596.00",5,0,252,
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,965.00",3,3,120,
Built-up  Area,Ready To Move,Koramangala,3 BHK,3,"1,760.00",2,0,115,
Super built-up  Area,18-Mar,Haralur Road,2 BHK,2,"1,225.00",2,1,70,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,075.00",2,2,52.43,
Built-up  Area,Ready To Move,Panathur,2 BHK,2,"1,000.00",2,1,68,
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3,"1,891.00",3,1,109,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,"1,322.00",2,2,86,
Plot  Area,Ready To Move,Mathikere,3 Bedroom,3,"1,095.00",3,0,215,
Built-up  Area,Ready To Move,Bellandur,4 Bedroom,4,"3,600.00",4,0,260,
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,2,"1,045.00",2,1,36.58,
Super built-up  Area,Ready To Move,Venugopal Reddy Layout,3 BHK,3,"1,545.00",3,3,85,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,996.00",3,2,135,
Super built-up  Area,Ready To Move,Brookefield,2 BHK,2,"1,125.00",2,2,70,
Super built-up  Area,18-Apr,Mysore Road,3 BHK,3,"1,560.00",3,1,115,
Super built-up  Area,Ready To Move,BEML Layout,3 BHK,3,"2,000.00",2,2,85,
Built-up  Area,Ready To Move,Murugeshpalya,4 BHK,4,"3,100.00",4,2,310,
Built-up  Area,Ready To Move,Lake City,2 BHK,2,780.00,2,1,35,
Plot  Area,Ready To Move,Lakshmipura,2 Bedroom,2,"1,350.00",2,1,110,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"2,275.00",4,2,180,
Super built-up  Area,Ready To Move,Pragathi Nagar,2 BHK,2,"1,350.00",2,2,41,
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,3,"1,464.00",3,3,56,
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,"1,570.00",3,3,64.5,
Super built-up  Area,Ready To Move,Dasanapura,1 BHK,1,708.00,1,0,28.32,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,680.00",3,1,160,
Super built-up  Area,Ready To Move,Hoodi,2 BHK,2,"1,400.00",2,1,82,
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2,"1,310.00",2,2,72,
Built-up  Area,Ready To Move,BTM Layout,6 Bedroom,6,"3,300.00",6,3,165,
Super built-up  Area,18-May,Electronics City Phase 1,2 BHK,2,"1,175.00",2,1,57,
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,3,"1,428.00",2,1,80,
Plot  Area,Ready To Move,Akshaya Nagar,4 Bedroom,4,750.00,4,2,62,
Super built-up  Area,Ready To Move,Whitefield,4 BHK,4,"3,252.00",4,3,280,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,194.00",2,2,46,
Plot  Area,Ready To Move,Old Town,8 Bedroom,8,750.00,8,0,200,
Super built-up  Area,18-Jun,8th Phase JP Nagar,2 BHK,2,"1,080.00",2,2,35,
Super built-up  Area,Ready To Move,Vijaya Bank Layout,3 BHK,3,"1,200.00",2,1,68,
Plot  Area,17-Dec,Whitefield,2 Bedroom,2,"1,200.00",2,1,45,
Plot  Area,Ready To Move,Okalipura,5 Bedroom,5,"1,200.00",4,3,120,
Built-up  Area,18-Dec,Bommasandra Industrial Area,3 BHK,3,"1,320.00",2,1,38.13,
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,3,"1,842.00",3,2,115,
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,2 BHK,2,"1,146.00",2,3,55,
Super built-up  Area,20-Aug,Rachenahalli,1 BHK,1,440.00,1,1,28,
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,2,"1,048.00",2,3,50,
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,801.00",3,1,115,
Super built-up  Area,19-Mar,Hennur Road,2 BHK,2,"1,232.00",2,1,69.61,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,150.00",2,2,90,
Super built-up  Area,21-Mar,Talaghattapura,3 BHK,3,"1,868.00",3,1,120,
Super built-up  Area,18-Apr,Begur,3 BHK,3,"1,445.00",2,2,47.1,
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,3,"1,466.00",2,3,140,
Built-up  Area,Ready To Move,Harlur,3 BHK,3,"1,730.00",3,2,100,
Super built-up  Area,18-Dec,JP Nagar,3 BHK,3,"3,860.00",3,2,402,
Super built-up  Area,Ready To Move,Somasundara Palya,2 BHK,2,"1,185.00",2,3,70,
Built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,3,"3,027.00",4,3,260,
Built-up  Area,20-Dec,Whitefield,4 BHK,4,"2,400.00",4,3,147,
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,2,"1,185.00",2,1,49,
Super built-up  Area,18-Aug,Hongasandra,2 BHK,2,"1,150.00",2,2,49,
Plot  Area,Ready To Move,Maruthi Extension,5 Bedroom,5,"2,000.00",4,2,180,
Plot  Area,Ready To Move,Vidyapeeta,6 Bedroom,6,875.00,3,1,98,
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,2,"1,075.00",2,2,35,
Super built-up  Area,Ready To Move,Hebbal,3 BHK,3,"1,760.00",3,2,123,
Super built-up  Area,Ready To Move,Banashankari,2 BHK,2,"1,600.00",2,1,63.98,
Plot  Area,Ready To Move,Madiwala,4 Bedroom,4,910.00,4,1,140,
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,"1,000.00",2,1,78,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,"1,215.00",2,2,90,
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,3,"1,734.00",3,3,125,
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,2,"1,280.00",2,1,60,
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,2,"1,113.00",2,1,55,
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,2,"1,272.00",2,2,48,
Built-up  Area,Ready To Move,Kereguddadahalli,3 BHK,3,"1,240.00",3,2,41,
Built-up  Area,Ready To Move,Varthur,8 Bedroom,8,704.00,8,3,92,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,"1,100.00",2,1,70,
Super built-up  Area,19-Apr,Ambalipura,2 BHK,2,896.00,2,1,30.13,
Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,4,"3,657.00",5,0,220,
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,2,"1,200.00",2,0,35,
